순번,지식재산권 명칭,출원구분,출원국,출원일자,출원번호,등록일자,등록번호
3452,기동표적에 대한 ISAR 영상의 수직거리 스케일링 기법,특허,대한민국,2015-01-29,10-2015-0014448,2016-08-24,10-1652395
3453,슬라이딩 윈도우기반 IFF 신호탐지 방법,특허,대한민국,2015-02-11,10-2015-0020984,2016-08-22,10-1651541
3454,고속 IFF MODE C 정밀 고도 분석 방법,특허,대한민국,2015-02-11,10-2015-0020983,2016-08-22,10-1651540
3455,Ad-hoc 중계 통신 시스템에서의 통신자원 자동할당 방법,특허,대한민국,2014-04-16,10-2014-0045457,2016-08-17,10-1650358
3456,서비스 지향 구조를 이용한 시뮬레이션 서버 및 이를 이용한 시뮬레이션 수행방법,특허,대한민국,2014-03-04,10-2014-0025743,2016-08-16,10-1649944
3457,간헐식 화포의 약실 회전장치,특허,대한민국,2014-12-31,10-2014-0194804,2016-08-16,10-1650103
3458,항공기용 통합형 생존 시현 장치,특허,대한민국,2013-01-09,10-2013-0002579,2016-08-12,10-1649510
3459,대장균에 특이적으로 결합하는 핵산 압타머 및 그의 용도,특허,대한민국,2014-03-28,10-2014-0037044,2016-08-12,10-1649511
3460,중계기를 이용한 동기식 의사위성 항법 시스템 및 그 시각동기방법,특허,대한민국,2014-10-29,10-2014-0148499,2016-08-12,10-1649512
3461,날개 전개 장치,특허,대한민국,2014-12-24,10-2014-0188433,2016-08-12,10-1649513
3462,전자파 적합성 시험장치,특허,대한민국,2015-04-22,10-2015-0056605,2016-08-12,10-1649514
3463,다중 스프링을 적용한 길이확장장치,특허,대한민국,2015-05-12,10-2015-0066217,2016-08-12,10-1649515
3464,비행체의 공력 변화량 예측 장치 및 그 방법,특허,대한민국,2015-07-21,10-2015-0103256,2016-08-12,10-1649516
3465,니트라민 산화제를 포함하는 추진제 조성물,특허,대한민국,2016-02-17,10-2016-0018434,2016-08-12,10-1649517
3466,빔형성 정보 기반 최적 스무딩 필터를 이용한 객체 궤적 추정 방법 및 장치,특허,대한민국,2015-06-19,10-2015-0087332,2016-08-11,10-1649198
3467,공중 데이터 링크에서 상황 인지 정보를 공유하기 위한 상황 인지 정보 공유 노드 및 이의 동작 방법,특허,대한민국,2016-04-12,10-2016-0045096,2016-08-11,10-1649199
3468,수평형 충격파 시험기,특허,대한민국,2013-12-03,10-2013-0149417,2016-08-10,10-1648700
3469,가연성 소재를 이용한 MEMS 기반 압전 에너지 하베스터 및 이의 제작 방법,특허,대한민국,2015-04-24,10-2015-0057807,2016-08-09,10-1648344
3470,다중 경로를 통한 공중 항적 정보 전송 시스템 및 방법,특허,대한민국,2014-11-05,10-2014-0152671,2016-08-05,10-1647769
3471,전파 증폭 모듈을 이용한 모의 대상물에 대한 레이더 단면적 프로파일 산출 장치 및 방법,특허,대한민국,2014-11-07,10-2014-0154300,2016-08-05,10-1647700
3472,고속이동 다중 표적 도래각 추정 기법,특허,대한민국,2014-06-11,10-2014-0070776,2016-08-04,10-1647478
3473,실시간 시각화 전자전 시뮬레이션 시스템 및 그 방법,특허,대한민국,2014-09-25,10-2014-0128300,2016-08-04,10-1647479
3474,히프파이프 원리를 적용한 배터리 모듈 설계,특허,대한민국,2015-10-23,10-2015-0147897,2016-08-04,10-1647481
3475,고농도 과산화수소 증기 제거용 대기압 플라즈마 장치,특허,대한민국,2015-10-26,10-2015-0148686,2016-08-04,10-1647480
3476,"C-치환된 1,3,3-트리나이트로아제티딘 및 그의 제조방법",특허,대한민국,2016-04-22,10-2016-0049281,2016-08-04,10-1647482
3477,패턴 인식을 이용한 평판 구조물의 결함 위치 탐지 방법 및 그 장치,특허,대한민국,2014-09-05,10-2014-0118293,2016-07-29,10-1645605
3478,네트워크 특성을 반영한 서비스 지향 아키텍처 프로토콜 동적 구성 시스템 및 이의 방법,특허,대한민국,2014-10-01,10-2014-0132358,2016-07-28,10-1645251
3479,부체계 제어 장치 및 그의 제어방법,특허,대한민국,2015-08-13,10-2015-0114850,2016-07-28,10-1645246
3480,"유도무기제어장치, 유도무기시스템 및 유도무기제어방법",특허,대한민국,2014-09-11,10-2014-0120347,2016-07-27,10-1644891
3481,안테나 고장 복원 장치,특허,대한민국,2015-07-21,10-2015-0103295,2016-07-27,10-1644892
3482,단일채널 모노 펄스 시스템 및 이의 제어 방법,특허,대한민국,2015-10-19,10-2015-0145415,2016-07-27,10-1644893
3483,고각조절이 가능한 화포용 소음기 및 그 장착방법,특허,대한민국,2014-06-12,10-2014-0071463,2016-07-26,10-1644363
3484,스터드를 이용한 유도탄 횡방향 고정장치,특허,대한민국,2014-08-25,10-2014-0111059,2016-07-26,10-1644520
3485,통신 신호에 대한 2단계 TDOA/FDOA 정보 추정 장치 및 방법,특허,대한민국,2014-09-02,10-2014-0116097,2016-07-26,10-1644560
3486,초광대역 강전자기파 발진장치,특허,대한민국,2015-05-18,10-2015-0069022,2016-07-26,10-1644463
3487,단일 센서를 이용한 능동 음향 반향음 제어 시스템 및 그 방법,특허,대한민국,2014-10-28,10-2014-0147699,2016-07-25,10-1644058
3488,동안정 풍동시험장치,특허,대한민국,2015-03-04,10-2015-0030592,2016-07-25,10-1644059
3489,탄도수정신관의 내충격 강화장치,특허,대한민국,2015-01-21,10-2015-0010238,2016-07-21,10-1643270
3490,전동기의 베어링 외륜 예압 조절 장치 및 방법,특허,대한민국,2014-11-21,10-2014-0163411,2016-07-20,10-1642780
3491,복합형 지능재료펌프 및 이를 이용한 브레이크 시스템,특허,대한민국,2014-08-26,10-2014-0111696,2016-07-19,10-1642356
3492,부품 교체 가능한 전자 총,특허,대한민국,2014-11-06,10-2014-0153705,2016-07-14,10-1641049
3493,광대역 렉테나 및 렉테나용 정류 장치,특허,대한민국,2014-09-25,10-2014-0128530,2016-07-13,10-1640785
3494,무선 신호 방향 탐지 시스템,특허,대한민국,2015-05-12,10-2015-0066210,2016-07-13,10-1640787
3495,사용자의 뇌파를 이용한 집중 상태 및 비집중 상태 검출 방법 및 그 장치,특허,대한민국,2015-08-13,10-2015-0114823,2016-07-13,10-1640788
3496,이동 로봇을 이용한 감시 경계 시스템 및 그의 제어 방법,특허,대한민국,2016-02-04,10-2016-0014423,2016-07-13,10-1640789
3497,모노펄스 안테나의 표적 신호 수신 장치 및 그 수신 방법,특허,대한민국,2016-02-05,10-2016-0015120,2016-07-13,10-1640790
3498,탈부착 가능한 전자기파 흡수 구조체,특허,대한민국,2016-04-11,10-2016-0044249,2016-07-13,10-1640783
3499,충돌체의 형상 및 속도 예측 방법,특허,대한민국,2016-06-23,10-2016-0078855,2016-07-13,10-1640838
3500,누설전류를 방지하는 실리콘 광증배관 소자,특허,대한민국,2013-12-02,10-2013-0148806,2016-07-05,10-1638545
3501,확산 방지층을 이용한 실리콘 광증배 소자 및 그 제조 방법,특허,대한민국,2014-11-05,10-2014-0152753,2016-07-05,10-1638549
3502,기움각을 갖는 배열 안테나의 간섭계 보정 방법 및 장치,특허,대한민국,2015-01-09,10-2015-0003371,2016-07-05,10-1638481
3503,수직 지면반발력을 통한 보행시작 의도인식 장치 및 방법,특허,대한민국,2014-08-13,10-2014-0105411,2016-07-01,10-1637439
3504,B 세포 분화 유도 세포,특허,대한민국,2014-05-20,10-2014-0060389,2016-06-29,10-1636405
3505,케이블 이용 이송 수단,특허,대한민국,2015-03-05,10-2015-0031139,2016-06-29,10-1636358
3506,λ/4 무급전 소자 적층형 다중대역 마이크로스트립 안테나,특허,대한민국,2015-04-06,10-2015-0048429,2016-06-29,10-1636494
3507,가상 현실을 이용한 가상 정비 훈련 시스템,특허,대한민국,2015-10-26,10-2015-0148836,2016-06-29,10-1636360
3508,저압 화학기상증착법을 이용한 게르마늄 단결정 박막 제조 방법,특허,대한민국,2015-02-17,10-2015-0024029,2016-06-28,10-1635970
3509,IR 영상 추적에서 파티클 필터를 이용한 기억 추적 성능 향상 방법 및 장치,특허,대한민국,2015-04-23,10-2015-0057238,2016-06-28,10-1635973
3510,정밀 곡면추종기구를 이용한 노즐곡률 및 형상 자동측정장치,특허,대한민국,2014-09-30,10-2014-0131583,2016-06-27,10-1635512
3511,무선 네트워크 환경에서 효율적인 다중 홉 전달을 위한 하이브리드 네트워크 구성 방법 및 이의 장치,특허,대한민국,2016-04-12,10-2016-0045098,2016-06-24,10-1635093
3512,"분석대상가스 농축용 흡착제 및 제조방법, 분석대상가스의 검출방법",특허,대한민국,2014-03-26,10-2014-0035530,2016-06-23,10-1634653
3513,동력 보상 회로를 구비한 이중화 전기 유체 정역학 액츄에이터 장치 및 그 제어 방법,특허,대한민국,2014-05-23,10-2014-0062348,2016-06-21,10-1633755
3514,진행파관을 위한 고전압전원 공급기 및 그의 출력 고전압 안정화 방법,특허,대한민국,2014-09-30,10-2014-0131678,2016-06-21,10-1633763
3515,P2P통신을 위한 OFDM기반 동적 주파수 할당방법,특허,대한민국,2015-04-02,10-2015-0046767,2016-06-15,10-1632267
3516,압전소자의 제조방법,특허,대한민국,2014-09-16,10-2014-0122643,2016-06-14,10-1632052
3517,탄탈륨의 미세조직 및 집합조직 제어방법,특허,대한민국,2015-04-22,10-2015-0056729,2016-06-14,10-1632024
3518,전도성 잉크와 대기압 플라즈마 젯을 이용한 다양한 패턴의 유연 플라즈마 전극 제작 방법,특허,대한민국,2015-10-27,10-2015-0149684,2016-06-14,10-1631923
3519,지표면 액적 형성용 살포장치,특허,대한민국,2015-05-18,10-2015-0069026,2016-06-13,10-1631642
3520,자체 상태감시 및 성능유지 기능을 갖는 의사위성 기반의 항법시스템,특허,대한민국,2014-09-30,10-2014-0131671,2016-06-09,10-1630666
3521,금속의 가공 방법,특허,대한민국,2014-12-22,10-2014-0185985,2016-06-09,10-1630667
3522,거리-도플러 클러스터링 기법,특허,대한민국,2014-12-05,10-2014-0173848,2016-06-08,10-1630264
3523,멀티계층 아키텍처 기반의 분산 전장 모의 실험 관리 시스템,특허,대한민국,2014-07-10,10-2014-0086950,2016-06-03,10-1629270
3524,순환 연료전지,특허,대한민국,2014-12-03,10-2014-0172366,2016-06-03,10-1629271
3525,열전모듈 제작을 위한 열전소자 고정용 지그,특허,대한민국,2014-09-11,10-2014-0120349,2016-06-01,10-1628171
3526,HLA 기반의 계층형 페더레이션 및 그의 시간 관리 방법,특허,대한민국,2014-12-03,10-2014-0172392,2016-06-01,10-1628172
3527,열원내장 이동객체와 주변 간의 상호 열교환 효과를 반영한 합성적외선영상 생성방법,특허,대한민국,2014-12-09,10-2014-0176042,2016-06-01,10-1628174
3528,수신 신호 세기를 이용한 다중 표적 추적 방법,특허,대한민국,2015-03-05,10-2015-0030943,2016-06-01,10-1628154
3529,CCL을 이용한 실시간 미확인 다중 동적물체 탐지 및 추적 방법,특허,대한민국,2015-04-23,10-2015-0057239,2016-06-01,10-1628155
3530,능동 보조 안전 시스템 및 그 제어 방법,특허,대한민국,2015-04-24,10-2015-0058288,2016-06-01,10-1628176
3531,배열안테나를 구비하는 레이더 및 그것의 위상 교정 방법,특허,대한민국,2015-11-11,10-2015-0158323,2016-06-01,10-1628183
3532,연료전지 차량의 수소저장합금 제어 시스템,특허,대한민국,2015-11-11,10-2015-0158317,2016-06-01,10-1628178
3533,에스테르화 반응을 이용한 젬-다이나이트로 에스터형 에너지 물질 및 그의 제조 방법(gem-dinitro ester compounds as an energetic materials using esterification and preparation method thereof),특허,대한민국,2013-10-30,10-2013-0130059,2016-05-31,10-1627609
3534,비행 궤적 및 형태학적 처리를 이용한 효과적인 다중 표적 역합성 개구면 레이더 영상 형성 방법 및 장치,특허,대한민국,2014-11-05,10-2014-0152673,2016-05-31,10-1627612
3535,수위 유지 구조를 가진 버퍼 수조,특허,대한민국,2014-11-19,10-2014-0161394,2016-05-31,10-1627709
3536,군용 이동형 수중추력 측정장치 및 그 작동방법,특허,대한민국,2016-04-19,10-2016-0047349,2016-05-31,10-1627587
3537,액체 황 함침 메탈폼을 이용한 열전지 전극 및 그 제조방법,특허,대한민국,2014-08-13,10-2014-0105412,2016-05-30,10-1627112
3538,고반응성 금속분말 제조방법 및 이로부터 제조되는 금속분말,특허,대한민국,2014-09-25,10-2014-0128302,2016-05-30,10-1627195
3539,전기화학 커패시터용 탄소전극 및 이의 표면개질을 위한 나노사이즈 패터닝 방법,특허,대한민국,2014-12-10,10-2014-0177432,2016-05-27,10-1626866
3540,비산화입자 형성 장치 및 형성 방법,특허,대한민국,2013-07-18,10-2013-0084854,2016-05-26,10-1626443
3541,삼자극치함수를 이용한 초분광 탐지 장치 및 그 방법,특허,대한민국,2015-02-09,10-2015-0019668,2016-05-26,10-1626370
3542,동작 자동화 점화선 시험기,특허,대한민국,2014-11-19,10-2014-0161405,2016-05-24,10-1625512
3543,회전하는 비행 물체의 롤 각도 추정 방법,특허,대한민국,2014-12-30,10-2014-0194230,2016-05-24,10-1625509
3544,자세제어용 수소-산소 이원추진제 추진시스템,특허,대한민국,2015-07-21,10-2015-0103298,2016-05-24,10-1625483
3545,비인가 무선 신호 탐지 체계를 이용한 무선 장비 분석 방법 및 시스템,특허,대한민국,2015-12-07,10-2015-0173424,2016-05-24,10-1625437
3546,흡열 연료를 이용한 고속 추진체 냉각시스템,특허,대한민국,2016-04-07,10-2016-0042631,2016-05-24,10-1625521
3547,"블록공중합체, ＭＷＮＴ, 금속 복합체 및 그 제조방법",특허,대한민국,2014-09-16,10-2014-0122869,2016-05-23,10-1624945
3548,근육 동특성 모델링 방법 및 장치,특허,대한민국,2014-11-04,10-2014-0151985,2016-05-20,10-1624615
3549,액체연료의 흡열반응 성능 향상을 위해 구조유도된 액체연료의 흡열 반응 촉매용 ZSM-5 제올라이트 및 그의 제조방법,특허,대한민국,2014-12-30,10-2014-0193866,2016-05-19,10-1624238
3550,휴대용 생물입자 실시간 검출장치,특허,대한민국,2015-11-06,10-2015-0155833,2016-05-18,10-1623787
3551,덕티드 추진기관 가스발생기용 연료과농 고체추진제,특허,대한민국,2013-12-30,10-2013-0167094,2016-05-13,10-1622722
3552,덕티드 추진기관 가스발생기의 연료 과농 고체추진제용 보론 비드,특허,대한민국,2013-12-30,10-2013-0167165,2016-05-13,10-1622721
3553,고정층 촉매 반응기를 이용한 디시클로펜타디엔-시클로펜타디엔 소중합체의 연속식 제조 방법,특허,대한민국,2014-08-14,10-2014-0105956,2016-05-13,10-1622660
3554,공중표적의 동적 특성과 거동을 모사하기 위한 공중 케이블용 고속 주행 표적 장치,특허,대한민국,2015-02-11,10-2015-0020906,2016-05-13,10-1622719
3555,충진밸브 어셈블리,특허,대한민국,2015-03-04,10-2015-0030393,2016-05-12,10-1622129
3556,무인차량 전역 경로계획을 위한 지형분석정보 형성방법,특허,대한민국,2015-03-05,10-2015-0031133,2016-05-12,10-1622176
3557,냉각핀을 구비하는 인젝터를 포함하는 공기가열기,특허,대한민국,2016-03-03,10-2016-0025807,2016-05-12,10-1622178
3558,자동 착륙을 위한 플레어 경로 생성 방법,특허,대한민국,2014-09-22,10-2014-0125983,2016-05-11,10-1621781
3559,리튬-황 전지용 혼합 전해질 제조 방법,특허,대한민국,2014-12-11,10-2014-0178329,2016-05-11,10-1621783
3560,동기 패턴 검출기 및 동기 패턴 검출방법,특허,대한민국,2015-01-02,10-2015-0000057,2016-05-11,10-1621787
3561,와이어를 따라 운동하는 수중 운동체의 디스크형 감속장치,특허,대한민국,2016-03-02,10-2016-0025241,2016-05-11,10-1621790
3562,주행정보지도 기반 무인차량 및 이를 이용한 지역경로계획 관리 방법,특허,대한민국,2014-09-25,10-2014-0128303,2016-05-09,10-1620911
3563,통신장치 및 그것의 제어방법,특허,대한민국,2014-04-23,10-2014-0048863,2016-05-04,10-1620452
3564,LVC 분산 시뮬레이션 환경을 위한 포드용 내장형 훈련 시스템,특허,대한민국,2014-07-28,10-2014-0095976,2016-05-04,10-1620404
3565,레이더 신호 분석 방법,특허,대한민국,2014-11-18,10-2014-0161091,2016-05-04,10-1620453
3566,초소형 터빈 부품의 제조방법,특허,대한민국,2014-12-31,10-2014-0195912,2016-05-04,10-1620405
3567,전장감시를 위한 무선 센서 네트워크 환경에서 적응형 전송 프로파일을 사용한 대용량 데이터 전송 방법,특허,대한민국,2015-07-17,10-2015-0101583,2016-05-03,10-1619855
3568,충격흡수와 지면반력 측정이 가능한 착용로봇의 탄성 발바닥 어셈블리,특허,대한민국,2014-09-16,10-2014-0122657,2016-05-02,10-1619297
3569,직렬탄성구동기를 구비하는 휴머노이드 로봇,특허,대한민국,2014-03-28,10-2014-0037094,2016-04-29,10-1618676
3570,패턴 비교 기법을 활용한 웹 기반의 군사정보 시각화 구현 시스템,특허,대한민국,2014-11-13,10-2014-0158041,2016-04-29,10-1618547
3571,고해상도 거리 측면도와 역합성 개구면 레이더 영상의 융합을 통한 표적 식별 방법 및 그 장치,특허,대한민국,2014-09-30,10-2014-0131599,2016-04-27,10-1617620
3572,이차원 자기광포획 생성장치,특허,대한민국,2014-11-12,10-2014-0157375,2016-04-26,10-1617297
3573,운반 및 리프팅 장치를 위한 유압구동장치,특허,대한민국,2014-03-05,10-2014-0026184,2016-04-25,10-1616786
3574,지평선 추출 장치 및 지평선 추출 방법,특허,대한민국,2014-09-25,10-2014-0128526,2016-04-25,10-1616789
3575,PIR 센서 신호에서 배경잡음과 사람이동신호를 분리하는 센서시스템 및 그것의 신호 분리방법,특허,대한민국,2015-03-31,10-2015-0045444,2016-04-25,10-1616790
3576,애플리케이션 무결성 검사 방법,특허,대한민국,2015-12-18,10-2015-0181836,2016-04-25,10-1616793
3577,장거리 음향표적 위치추정 장치 및 방법,특허,대한민국,2014-03-03,10-2014-0025175,2016-04-22,10-1616361
3578,방향탐지 정확도가 향상된 E.S.M. 위상 인터페로미터 방향탐지 시스템,특허,대한민국,2014-04-24,10-2014-0049179,2016-04-22,10-1616377
3579,충진밸브 어댑터 어셈블리,특허,대한민국,2015-03-04,10-2015-0030394,2016-04-22,10-1616375
3580,유도탄의 굽힘 변형식 조종날개,특허,대한민국,2016-02-15,10-2016-0017183,2016-04-22,10-1616373
3581,주야간 해양 안전관리 방법,특허,대한민국,2014-06-02,10-2014-0067027,2016-04-21,10-1616070
3582,불균일계 촉매를 이용한 노르보나디엔 이량체의 제조 방법,특허,대한민국,2015-10-21,10-2015-0146886,2016-04-21,10-1616071
3583,전자전에서 사이버 공격 탐지와 분석을 위한 DPI 구현 시스템 및 이의 구현 방법,특허,대한민국,2015-11-06,10-2015-0155801,2016-04-20,10-1615587
3584,저피탐 표적에 대한 ＭＩＭＯ ＩｎＩＳＡＲ영상형성방법,특허,대한민국,2015-03-04,10-2015-0030371,2016-04-19,10-1615151
3585,수중 이동체의 속도 측정 장치 및 그 방법,특허,대한민국,2015-05-18,10-2015-0069030,2016-04-19,10-1615210
3586,재머 구별이 가능한 조향 벡터 연산을 이용하는 표적의 DOD-DOA 추정 방법 및 장치,특허,대한민국,2014-10-01,10-2014-0132609,2016-04-18,10-1614766
3587,군 작전용 데이터 접근을 제어하는 이동 단말기 및 그 제어 방법,특허,대한민국,2015-11-12,10-2015-0159095,2016-04-15,10-1614371
3588,분리탑재형발전기,특허,대한민국,2015-08-17,10-2015-0115156,2016-04-12,10-1613545
3589,초소형 가스터빈 점화기 체결구조,특허,대한민국,2014-11-12,10-2014-0156959,2016-04-08,10-1612860
3590,"마이크로 압전 유연와이어의 제조방법, 상기 마이크로 압전 유연와이어를 이용한 압전 에너지 하베스터 및 상기 압전 에너지 하베스터의 제조방법",특허,대한민국,2014-09-16,10-2014-0122641,2016-04-07,10-1612381
3591,영상정합 기법을 이용한 원격 실시간 주차정보 시스템,특허,대한민국,2014-10-23,10-2014-0144271,2016-04-05,10-1611258
3592,수중 음향 트랜스듀서 및 이를 이용한 트랜스듀서 시스템,특허,대한민국,2014-12-09,10-2014-0176044,2016-04-05,10-1611226
3593,심보율 추정 방법,특허,대한민국,2015-08-28,10-2015-0121856,2016-04-05,10-1611534
3594,유효 교전 발사각 영역 산출 장치 및 그 방법,특허,대한민국,2015-10-28,10-2015-0150395,2016-04-05,10-1611228
3595,유도탄의 자체 이탈 신호 생성 장치 및 그 방법,특허,대한민국,2015-10-29,10-2015-0151203,2016-04-05,10-1611230
3596,핫런치 타입 미사일용 화염역류 방지장치,특허,대한민국,2014-08-13,10-2014-0105474,2016-04-04,10-1610740
3597,고에너지 화합물의 밀도를 예측하는 QSPR 방법,특허,대한민국,2014-10-10,10-2014-0136634,2016-04-04,10-1610743
3598,고에너지 고체화합물의 생성열을 예측하는 QSPR 방법,특허,대한민국,2014-10-10,10-2014-0136633,2016-04-04,10-1610741
3599,"고출력 광 도파로 파장변환 장치, 그 방법 및 그를 근거로 한 레이저 시스템",특허,대한민국,2014-06-11,10-2014-0070942,2016-04-01,10-1610201
3600,GBAS 운용범위 확장을 위한 벡터형 오차 보정 장치 및 방법,특허,대한민국,2014-08-14,10-2014-0105950,2016-03-29,10-1608809
3601,협소한 공간에 적합한 45도 반사경 광축조향장치,특허,대한민국,2014-10-15,10-2014-0139061,2016-03-29,10-1608812
3602,동압력 교정기용 초고압 상승시간 제어장치 및 그 제어방법,특허,대한민국,2014-12-04,10-2014-0172810,2016-03-29,10-1608810
3603,기체의 축방향 변형 및 팽창이 내부에 전달되지 않게 차단하는 장치 및 그 설치방법,특허,대한민국,2014-04-08,10-2014-0041675,2016-03-28,10-1608355
3604,안테나 장치,특허,대한민국,2014-11-04,10-2014-0151990,2016-03-25,10-1607968
3605,GPS TOD POLLING을 이용한 수집시각 동기화 방법,특허,대한민국,2015-02-11,10-2015-0020982,2016-03-23,10-1607134
3606,차분 위성 항법의 서비스 영역 확장을 위한 전리층 지연오차 보상 시스템 및 방법,특허,대한민국,2015-03-05,10-2015-0030945,2016-03-23,10-1607082
3607,군용 항공기의 진동 데이터를 획득하기 위한 외장형 탑재 계측 장비 및 이의 제어 방법,특허,대한민국,2015-08-17,10-2015-0115590,2016-03-23,10-1607083
3608,다수의 비행 객체에 대한 비행스케줄 생성 방법 및 그 비행스케줄 생성 장치,특허,대한민국,2015-12-29,10-2015-0188623,2016-03-23,10-1607157
3609,"아미노에테르기를 함유하는 분산제, 이를 포함하는 연료용첨가제,및분산제의제조방법",특허,대한민국,2014-03-05,10-2014-0026192,2016-03-21,10-1606405
3610,이중대역 위상배열 레이더 안테나용 복사소자 및 이를 이용한 이중 대역 위상 배열 레이더용 안테나,특허,대한민국,2014-09-25,10-2014-0128566,2016-03-18,10-1606053
3611,래비린스 실,특허,대한민국,2015-01-22,10-2015-0010767,2016-03-15,10-1605044
3612,불균질계 고체 산 촉매를 이용한 테트라하이드로트리(사이클로펜타디엔)의 이성질체 제조 방법,특허,대한민국,2014-08-27,10-2014-0112342,2016-03-14,10-1604669
3613,고에너지 화합물의 충격감도를 예측하는 QSPR 모델,특허,대한민국,2014-10-10,10-2014-0136635,2016-03-11,10-1604340
3614,판스프링을 이용한 부하인가장치 및 그 작동방법,특허,대한민국,2014-11-11,10-2014-0156160,2016-03-11,10-1604338
3615,배열 안테나의 지상 정렬 장치 및 그의 제어방법,특허,대한민국,2015-10-30,10-2015-0152515,2016-03-11,10-1604321
3616,적외선의 흡수 및 방사가능한 복합구조재,특허,대한민국,2014-11-12,10-2014-0157383,2016-03-10,10-1603966
3617,무선통신 환경에서의 멀티-홉 방식을 이용한 시각 동기화 방법 및 시스템,특허,대한민국,2014-05-26,10-2014-0062996,2016-03-09,10-1603639
3618,송신신호 파형의 직교성을 이용한 재머 신호 억제 및 원신호 도래각 추정 방법 및 장치,특허,대한민국,2014-07-23,10-2014-0093196,2016-03-09,10-1603630
3619,제트베인 분리가 가능한 통합형 구동장치,특허,대한민국,2014-08-26,10-2014-0111693,2016-03-08,10-1603154
3620,아날로그 디지털 컨버터의 포화를 방지하기 위한 디지털 수신기,특허,대한민국,2015-04-22,10-2015-0056717,2016-03-08,10-1603144
3621,위상인터페로미터 방탐시스템의 다중소자 배열간격산출 방법,특허,대한민국,2015-04-23,10-2015-0057283,2016-03-08,10-1603142
3622,RPC 번들조정 모델 AP와 영상변환 오차전파를 이용한 에피폴라 영상의 RPC 불확성치 결정 방법 및 장치,특허,대한민국,2014-11-07,10-2014-0154302,2016-03-07,10-1602631
3623,비행체의 유도 조종 방법 및 그 장치,특허,대한민국,2014-09-23,10-2014-0126993,2016-03-04,10-1602311
3624,안테나의 온도제어장치 및 그의 제어방법,특허,대한민국,2014-11-14,10-2014-0159142,2016-03-04,10-1602314
3625,슬라이드베드 조립체,특허,대한민국,2015-08-17,10-2015-0115169,2016-03-04,10-1602479
3626,암호키 관리 방법,특허,대한민국,2015-02-10,10-2015-0020441,2016-03-03,10-1601739
3627,비대칭 전력 하향 링크 전송 시스템,특허,대한민국,2015-03-04,10-2015-0030577,2016-03-03,10-1601740
3628,유도탄용 신관 안전장전장치의 충격감지회로 및 솔레노이드 구동회로,특허,대한민국,2014-04-07,10-2014-0041406,2016-03-02,10-1600990
3629,항공탑재 EO/IR 영상장비 표적지향 정확도 및 자동촬영 시험장치 및 시험방법,특허,대한민국,2014-04-24,10-2014-0049266,2016-03-02,10-1600993
3630,"이중 회전자, 이중 고정자 및 이중 센서 구조를 포함한 BLDC 모터 및 이를 포함하는 전기식 선형 액추에이터",특허,대한민국,2014-07-23,10-2014-0093225,2016-03-02,10-1600992
3631,유도 무기에 유도명령 전송을 위한 유도 명령 송신 방법,특허,대한민국,2014-07-23,10-2014-0093195,2016-03-02,10-1600989
3632,노보넨계 화합물 및 이의 용도,특허,대한민국,2014-09-26,10-2014-0129415,2016-03-02,10-1600896
3633,플라즈마와 반응성 가스를 이용한 유연 포장커버 형태의 제독 및 살균 장치,특허,대한민국,2015-12-24,10-2015-0186193,2016-03-02,10-1600991
3634,표적의 주요 특징점 정보를 이용한 지상 표적 인지 기법,특허,대한민국,2014-06-30,10-2014-0080860,2016-02-26,10-1599817
3635,가중치 기반 기능 제어를 수행하는 군용 이동 단말기 및 그 제어 방법,특허,대한민국,2015-09-21,10-2015-0133163,2016-02-26,10-1599720
3636,적외선 신호의 반사 성분 연산 장치 및 그 방법,특허,대한민국,2015-10-30,10-2015-0152512,2016-02-26,10-1599722
3637,에너지 수집장치,특허,대한민국,2013-10-29,10-2013-0129220,2016-02-24,10-1598888
3638,"Ni-YSZ 복합재료 분말의 제조방법, 이에 의해 제조된 Ni-YSZ 복합재료 분말 및 상기 Ni-YSZ 복합재료 분말을 사용한 경사기능 열 차폐 코팅 방법",특허,대한민국,2014-11-05,10-2014-0152677,2016-02-24,10-1598858
3639,함정 네트워크 통합용 게이트웨이,특허,대한민국,2015-02-12,10-2015-0021812,2016-02-24,10-1598852
3640,섬유집합체의 제조방법,특허,대한민국,2015-10-05,10-2015-0139465,2016-02-24,10-1599036
3641,지향 벡터를 이용한 위성 추적 장치 및 그 방법,특허,대한민국,2014-07-09,10-2014-0086226,2016-02-22,10-1598023
3642,장파장 적외선의 투과도를 조절하는 전기변색 소자 및 그의 제조방법,특허,대한민국,2014-09-11,10-2014-0120352,2016-02-22,10-1598025
3643,"양극 활물질용 복합금속산화물의 제조방법 및 이를 이용한 전극, 리튬 이차전지, 커패시터",특허,대한민국,2014-09-16,10-2014-0122604,2016-02-22,10-1598186
3644,견고한 분산 이동성 관리 방법 및 시스템,특허,대한민국,2015-09-24,10-2015-0135462,2016-02-22,10-1598109
3645,주파수 도약신호의 검출을 위한 주파수 스펙트럼 표시 시스템 및 표시 방법,특허,대한민국,2014-07-01,10-2014-0081730,2016-02-19,10-1597649
3646,소프트웨어 제품라인에 기반한 서비스 개발 시스템 및 방법,특허,대한민국,2014-05-20,10-2014-0060327,2016-02-16,10-1596257
3647,일체화된 임팩터 및 사이클론 장치,특허,대한민국,2014-07-09,10-2014-0086009,2016-02-16,10-1596368
